open_time,close_time,O,H,L,C,V_Q,V_C
2017-12-19 03:30:00,2017-12-19 03:44:59.999000,18488.8,18500.0,18405.94,18467.88,1376177.90533742,74.555155
2017-12-19 03:45:00,2017-12-19 03:59:59.999000,18446.0,18600.0,18445.98,18590.0,1122346.41302445,60.631179
2017-12-19 04:00:00,2017-12-19 04:14:59.999000,18590.0,18635.4,18550.62,18564.5,974654.36903523,52.471657
2017-12-19 04:15:00,2017-12-19 04:29:59.999000,18566.5,18599.0,18464.35,18534.0,1305883.92673253,70.459177
2017-12-19 04:30:00,2017-12-19 04:44:59.999000,18517.34,18544.97,18447.4,18488.0,1520995.1370768,82.34001
2017-12-19 04:45:00,2017-12-19 04:59:59.999000,18488.0,18588.06,18487.01,18588.05,1327184.84093352,71.720319
2017-12-19 05:00:00,2017-12-19 05:14:59.999000,18588.05,18699.98,18521.24,18677.72,933726.85592301,50.285964
2017-12-19 05:15:00,2017-12-19 05:29:59.999000,18596.04,18699.99,18566.67,18594.25,1226024.16361066,65.883325
2017-12-19 05:30:00,2017-12-19 05:44:59.999000,18594.25,18673.55,18574.53,18574.55,1389331.58837986,74.653586
2017-12-19 05:45:00,2017-12-19 05:59:59.999000,18589.99,18629.39,18501.04,18551.96,1384456.86360915,74.590746
2017-12-19 06:00:00,2017-12-19 06:14:59.999000,18551.96,18557.4,18472.9,18541.35,1291024.07381297,69.704512
2017-12-19 06:15:00,2017-12-19 06:29:59.999000,18541.35,18576.15,18520.0,18526.43,919887.13424167,49.595033
2017-12-19 06:30:00,2017-12-19 06:44:59.999000,18526.43,18555.0,18465.39,18488.13,1048299.95016911,56.660663
2017-12-19 06:45:00,2017-12-19 06:59:59.999000,18488.14,18700.0,18488.14,18680.0,1239257.76941638,66.780233
2017-12-19 07:00:00,2017-12-19 07:14:59.999000,18700.0,18900.0,18664.46,18785.02,2295900.32970544,122.278231
2017-12-19 07:15:00,2017-12-19 07:29:59.999000,18785.02,18849.99,18736.72,18782.06,1725912.47902452,91.885617
2017-12-19 07:30:00,2017-12-19 07:44:59.999000,18782.06,18890.02,18687.18,18744.99,1145693.08460965,61.036037
2017-12-19 07:45:00,2017-12-19 07:59:59.999000,18707.35,18900.0,18703.0,18856.25,1490635.92462727,79.239004
2017-12-19 08:00:00,2017-12-19 08:14:59.999000,18856.25,18950.0,18838.8,18865.0,1583594.76684294,83.832231
2017-12-19 08:15:00,2017-12-19 08:29:59.999000,18865.0,18888.0,18522.66,18675.0,2331897.82256472,124.548879
